symbol,entry_date,entry_price,quantity,investment,additional_capital_needed,cash_after_entry,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl,return_pct
ZYDUSLIFE,2022-06-20,336.5,2768,931432.0,0,1911391.263851609,313.3060339233273,358.0939660766727,2022-06-27,358.0939660766727,take_profit,59772.09810023003,6.417226174345528
IDFCFIRSTB,2022-06-21,30.2,2,60.4,0,2902534.9619518393,28.062787677982215,32.828687203362975,2022-07-04,32.828687203362975,take_profit,5.257374406725951,8.70426226279131
LTIM,2022-07-08,4089.95,244,997947.7999999999,0,1904652.8193262462,3826.1501193912695,4483.449761217461,2022-07-21,4483.449761217461,take_profit,96013.94173706052,9.62113867449385
HCLTECH,2022-07-15,896.0,1116,999936.0,0,1998678.5610633064,850.0092676704581,955.990732329542,2022-07-29,955.990732329542,take_profit,66949.65727976884,6.695394233207809
ZYDUSLIFE,2022-07-27,343.0,2915,999845.0,0,2065719.2183430754,321.87766637460174,363.2223336253983,2022-08-04,363.2223336253983,take_profit,58948.10251803598,5.895724089037398
ZOMATO,2022-07-27,40.85,23689,967695.65,0,2156816.6708611115,34.660294823359486,52.13455776496077,2022-08-02,52.13455776496077,take_profit,267319.88889415556,27.624376413612644
INDUSTOWER,2022-08-11,195.6,5112,999907.2,0,2391925.009755267,177.5346947413988,206.90224420688097,2022-09-15,206.90224420688097,take_profit,57777.07238557552,5.778243459550598
DABUR,2022-09-19,549.15,1820,999453.0,0,2450156.2821408426,521.1635149327273,576.6837820807272,2022-09-22,576.6837820807272,take_profit,50111.483386923464,5.013890937034905
COALINDIA,2022-09-27,185.0,5405,999925.0,0,2499795.765527766,169.78845860561384,202.15384967326335,2022-10-06,202.15384967326335,take_profit,92716.55748398842,9.272351174736947
MUTHOOTFIN,2022-09-27,961.1,1040,999544.0,0,2592893.3230117545,900.7929472732836,1039.3105790900745,2022-09-28,1039.3105790900745,take_profit,81339.00225367745,8.137610975972787
INDUSTOWER,2022-09-29,184.35,5424,999914.4,0,2673861.925265432,170.56804526497135,193.3955637880229,2022-09-30,193.3955637880229,take_profit,49063.1379862363,4.906733815038197
HEROMOTOCO,2022-09-29,2438.85,410,999928.5,0,2722910.963251668,2296.119740319483,2631.6953895207757,2022-11-28,2631.6953895207757,take_profit,79066.60970351809,7.907226337034906
LICI,2022-09-29,623.9,931,580850.9,0,3221055.172955186,599.5469975503424,648.8287530620721,2022-10-21,599.5469975503424,stop_loss,-22672.645280631168,-3.903350288452883
TATACONSUM,2022-10-11,748.7,1335,999514.5000000001,0,2779718.9276745548,699.0880199938592,806.364376007369,2022-11-30,806.364376007369,take_profit,76981.94196983748,7.701933485691051
DABUR,2022-10-11,531.75,1880,999690.0,0,2856525.3696443923,496.8094003867566,567.8487195358922,2022-11-14,567.8487195358922,take_profit,67865.59272747734,6.7886637585128735
LICI,2022-10-24,593.0,1182,700926.0,0,3223154.96237187,571.7545047335122,611.0068690831098,2022-10-31,611.0068690831098,take_profit,21284.119256235772,3.036571514858312
HCLTECH,2022-12-12,1025.0,975,999375.0,0,2945990.0816281056,977.4268575441896,1077.5731424558105,2023-01-11,1077.5731424558105,take_profit,51258.81389441525,5.129087068859563
COALINDIA,2022-12-26,184.05,5433,999943.65,0,2996680.245522521,171.34945963505356,199.29064843793577,2023-01-23,199.29064843793577,take_profit,82802.44296330499,8.280710914390523
ADANIGREEN,2022-12-26,1809.05,552,998595.6,0,3080830.7384858257,1616.140099751328,2040.5418802984063,2023-01-16,2040.5418802984063,take_profit,127783.51792472032,12.796322948420794
TATAMOTORS,2022-12-26,380.25,2491,947202.75,0,3260007.106410546,362.8096141841293,409.43077163174144,2023-01-10,409.43077163174144,take_profit,72689.30213466792,7.674101678301495
BAJFINANCE,2023-01-11,5930.0,1,5930.0,0,4273969.158545214,5573.123146289668,6400.690280565497,2023-02-09,6400.690280565497,take_profit,470.69028056549723,7.937441493515973
INDUSTOWER,2023-01-18,176.15,5676,999827.4,0,3280542.448825779,166.2538485106561,183.7069211914751,2023-01-25,166.2538485106561,stop_loss,-56170.555853516016,-5.618025256510875
ASIANPAINT,2023-01-23,2800.0,357,999600.0,0,3224599.292972263,2672.493600666868,2960.7595989996985,2023-05-03,2960.7595989996985,take_profit,57391.17684289236,5.741414249989232
ADANIPORTS,2023-01-27,699.0,1430,999570.0,0,3282020.4698151555,681.0580483426814,777.333903314637,2023-01-27,681.0580483426814,stop_loss,-25656.99086996553,-2.5668028122058018
